,location,gbtt_ptd,gbtt_pta,actual_td,actual_ta,late_canc_reason,date_of_service,rid
0,LST,0600,,0610,,727,2019-07-01,201907017671008
1,CHM,0630,0630,0643,0642,727,2019-07-01,201907017671008
2,COL,0650,0649,0701,0659,727,2019-07-01,201907017671008
3,MNG,0658,0658,0712,0709,727,2019-07-01,201907017671008
4,IPS,0712,0710,0723,0721,727,2019-07-01,201907017671008
5,SMK,0723,0722,0734,0733,727,2019-07-01,201907017671008
6,DIS,0735,0735,0748,0747,727,2019-07-01,201907017671008
7,NRW,,0755,,0805,727,2019-07-01,201907017671008
0,LST,0600,,0600,,,2019-07-02,201907027671008
1,CHM,0630,0630,0629,0627,,2019-07-02,201907027671008
2,COL,0650,0649,0650,0648,,2019-07-02,201907027671008
3,MNG,0658,0658,0659,0657,,2019-07-02,201907027671008
4,IPS,0712,0710,0711,0708,,2019-07-02,201907027671008
5,SMK,0723,0722,0722,0721,,2019-07-02,201907027671008
6,DIS,0735,0735,0736,0734,,2019-07-02,201907027671008
7,NRW,,0755,,0752,,2019-07-02,201907027671008
0,LST,0600,,0559,,,2019-07-03,201907037671009
1,CHM,0630,0630,0630,0628,,2019-07-03,201907037671009
2,COL,0650,0649,0649,0646,,2019-07-03,201907037671009
3,MNG,0658,0658,0701,0656,,2019-07-03,201907037671009
4,IPS,0712,0710,0711,0710,,2019-07-03,201907037671009
5,SMK,0723,0722,0723,0721,,2019-07-03,201907037671009
6,DIS,0735,0735,0736,0735,,2019-07-03,201907037671009
7,NRW,,0755,,0752,,2019-07-03,201907037671009
0,LST,0600,,0603,,713,2019-07-04,201907047671008
1,CHM,0630,0630,0632,0631,713,2019-07-04,201907047671008
2,COL,0650,0649,0651,0649,713,2019-07-04,201907047671008
3,MNG,0658,0658,0659,0658,713,2019-07-04,201907047671008
4,IPS,0712,0710,0711,0708,713,2019-07-04,201907047671008
5,SMK,0723,0722,0722,0721,713,2019-07-04,201907047671008
6,DIS,0735,0735,0736,0734,713,2019-07-04,201907047671008
7,NRW,,0755,,0752,713,2019-07-04,201907047671008
0,LST,0600,,0600,,,2019-07-05,201907057671008
1,CHM,0630,0630,0629,0626,,2019-07-05,201907057671008
2,COL,0650,0649,0651,0649,,2019-07-05,201907057671008
3,MNG,0658,0658,0700,0658,,2019-07-05,201907057671008
4,IPS,0712,0710,0711,0710,,2019-07-05,201907057671008
5,SMK,0723,0722,0722,0721,,2019-07-05,201907057671008
6,DIS,0735,0735,0736,0734,,2019-07-05,201907057671008
7,NRW,,0755,,0752,,2019-07-05,201907057671008
0,LST,0600,,0600,,,2019-07-08,201907087671008
1,CHM,0630,0630,0629,0627,,2019-07-08,201907087671008
2,COL,0650,0649,0650,0648,,2019-07-08,201907087671008
3,MNG,0658,0658,0700,0657,,2019-07-08,201907087671008
4,IPS,0712,0710,0712,0709,,2019-07-08,201907087671008
5,SMK,0723,0722,0723,0722,,2019-07-08,201907087671008
6,DIS,0735,0735,0738,0736,,2019-07-08,201907087671008
7,NRW,,0755,,0754,,2019-07-08,201907087671008
0,LST,0600,,0600,,,2019-07-09,201907097671008
1,CHM,0630,0630,0630,0628,,2019-07-09,201907097671008
2,COL,0650,0649,0651,0649,,2019-07-09,201907097671008
3,MNG,0658,0658,0701,0658,,2019-07-09,201907097671008
4,IPS,0712,0710,0712,0710,,2019-07-09,201907097671008
5,SMK,0723,0722,0723,0722,,2019-07-09,201907097671008
6,DIS,0735,0735,0737,0735,,2019-07-09,201907097671008
7,NRW,,0755,,0754,,2019-07-09,201907097671008
0,LST,0600,,0559,,,2019-07-10,201907107671009
1,CHM,0630,0630,0629,0626,,2019-07-10,201907107671009
2,COL,0650,0649,0650,0648,,2019-07-10,201907107671009
3,MNG,0658,0658,0700,0657,,2019-07-10,201907107671009
4,IPS,0712,0710,0711,0709,,2019-07-10,201907107671009
5,SMK,0723,0722,0723,0721,,2019-07-10,201907107671009
6,DIS,0735,0735,0737,0735,,2019-07-10,201907107671009
7,NRW,,0755,,0754,,2019-07-10,201907107671009
0,LST,0600,,0600,,,2019-07-11,201907117671008
1,CHM,0630,0630,0630,0626,,2019-07-11,201907117671008
2,COL,0650,0649,0652,0651,,2019-07-11,201907117671008
3,MNG,0658,0658,0701,0659,,2019-07-11,201907117671008
4,IPS,0712,0710,0712,0710,,2019-07-11,201907117671008
5,SMK,0723,0722,0723,0722,,2019-07-11,201907117671008
6,DIS,0735,0735,0810,0735,,2019-07-11,201907117671008
7,NRW,,0755,,0857,,2019-07-11,201907117671008
0,LST,0600,,0559,,,2019-07-12,201907127671008
1,CHM,0630,0630,0629,0626,,2019-07-12,201907127671008
2,COL,0650,0649,0651,0648,,2019-07-12,201907127671008
3,MNG,0658,0658,0700,0658,,2019-07-12,201907127671008
4,IPS,0712,0710,0711,0709,,2019-07-12,201907127671008
5,SMK,0723,0722,0723,0722,,2019-07-12,201907127671008
6,DIS,0735,0735,0737,0735,,2019-07-12,201907127671008
7,NRW,,0755,,0753,,2019-07-12,201907127671008
0,LST,0600,,0559,,,2019-07-15,201907157671008
1,CHM,0630,0630,0629,0626,,2019-07-15,201907157671008
2,COL,0650,0649,0649,0645,,2019-07-15,201907157671008
3,MNG,0658,0658,0659,0657,,2019-07-15,201907157671008
4,IPS,0712,0710,0711,0708,,2019-07-15,201907157671008
5,SMK,0723,0722,0723,0722,,2019-07-15,201907157671008
6,DIS,0735,0735,0736,0735,,2019-07-15,201907157671008
7,NRW,,0755,,0753,,2019-07-15,201907157671008
0,LST,0600,,0559,,,2019-07-16,201907167671008
1,CHM,0630,0630,0629,0624,,2019-07-16,201907167671008
2,COL,0650,0649,0651,0649,,2019-07-16,201907167671008
3,MNG,0658,0658,0701,0659,,2019-07-16,201907167671008
4,IPS,0712,0710,0712,0711,,2019-07-16,201907167671008
5,SMK,0723,0722,0723,0723,,2019-07-16,201907167671008
6,DIS,0735,0735,0737,0736,,2019-07-16,201907167671008
7,NRW,,0755,,0754,,2019-07-16,201907167671008
0,LST,0600,,0600,,,2019-07-17,201907177671009
1,CHM,0630,0630,0630,0627,,2019-07-17,201907177671009
2,COL,0650,0649,0651,0649,,2019-07-17,201907177671009
3,MNG,0658,0658,0702,0658,,2019-07-17,201907177671009
4,IPS,0712,0710,0713,0711,,2019-07-17,201907177671009
5,SMK,0723,0722,0724,0723,,2019-07-17,201907177671009
6,DIS,0735,0735,0738,0736,,2019-07-17,201907177671009
7,NRW,,0755,,0754,,2019-07-17,201907177671009
0,LST,0600,,0559,,,2019-07-18,201907187671008
1,CHM,0630,0630,0630,0627,,2019-07-18,201907187671008
2,COL,0650,0649,0652,0650,,2019-07-18,201907187671008
3,MNG,0658,0658,0702,0700,,2019-07-18,201907187671008
4,IPS,0712,0710,0713,0711,,2019-07-18,201907187671008
5,SMK,0723,0722,0724,0723,,2019-07-18,201907187671008
6,DIS,0735,0735,0738,0736,,2019-07-18,201907187671008
7,NRW,,0755,,0755,,2019-07-18,201907187671008
0,LST,0600,,0559,,,2019-07-19,201907197671008
1,CHM,0630,0630,0629,0627,,2019-07-19,201907197671008
2,COL,0650,0649,0651,0648,,2019-07-19,201907197671008
3,MNG,0658,0658,0701,0658,,2019-07-19,201907197671008
4,IPS,0712,0710,0712,0710,,2019-07-19,201907197671008
5,SMK,0723,0722,0723,0722,,2019-07-19,201907197671008
6,DIS,0735,0735,0739,0737,,2019-07-19,201907197671008
7,NRW,,0755,,0755,,2019-07-19,201907197671008
0,LST,0600,,0600,,,2019-07-22,201907227671008
1,CHM,0630,0630,0629,0628,,2019-07-22,201907227671008
2,COL,0650,0649,0649,0645,,2019-07-22,201907227671008
3,MNG,0658,0658,0703,0657,,2019-07-22,201907227671008
4,IPS,0712,0710,0714,0712,,2019-07-22,201907227671008
5,SMK,0723,0722,0726,0725,,2019-07-22,201907227671008
6,DIS,0735,0735,0740,0739,,2019-07-22,201907227671008
7,NRW,,0755,,0757,,2019-07-22,201907227671008
0,LST,0600,,0600,,,2019-07-23,201907237671008
1,CHM,0630,0630,0629,0627,,2019-07-23,201907237671008
2,COL,0650,0649,0649,0646,,2019-07-23,201907237671008
3,MNG,0658,0658,0701,0657,,2019-07-23,201907237671008
4,IPS,0712,0710,0711,0710,,2019-07-23,201907237671008
5,SMK,0723,0722,0722,0722,,2019-07-23,201907237671008
6,DIS,0735,0735,0736,0734,,2019-07-23,201907237671008
7,NRW,,0755,,0752,,2019-07-23,201907237671008
0,LST,0600,,0601,,,2019-07-24,201907247671009
1,CHM,0630,0630,0629,0627,,2019-07-24,201907247671009
2,COL,0650,0649,0652,0648,,2019-07-24,201907247671009
3,MNG,0658,0658,0659,0659,,2019-07-24,201907247671009
4,IPS,0712,0710,0711,0708,,2019-07-24,201907247671009
5,SMK,0723,0722,0722,0721,,2019-07-24,201907247671009
6,DIS,0735,0735,0735,0735,,2019-07-24,201907247671009
7,NRW,,0755,,0752,,2019-07-24,201907247671009
0,LST,0600,,0600,,,2019-07-25,201907257671008
1,CHM,0630,0630,0630,0628,,2019-07-25,201907257671008
2,COL,0650,0649,0650,0648,,2019-07-25,201907257671008
3,MNG,0658,0658,0659,0657,,2019-07-25,201907257671008
4,IPS,0712,0710,0711,0709,,2019-07-25,201907257671008
5,SMK,0723,0722,0723,0722,,2019-07-25,201907257671008
6,DIS,0735,0735,0738,0737,,2019-07-25,201907257671008
7,NRW,,0755,,0800,,2019-07-25,201907257671008
0,LST,0600,,0600,,,2019-07-26,201907267671008
1,CHM,0630,0630,0630,0628,,2019-07-26,201907267671008
2,COL,0650,0649,0651,0649,,2019-07-26,201907267671008
3,MNG,0658,0658,0701,0658,,2019-07-26,201907267671008
4,IPS,0712,0710,0712,0710,,2019-07-26,201907267671008
5,SMK,0723,0722,0723,0722,,2019-07-26,201907267671008
6,DIS,0735,0735,0736,0735,,2019-07-26,201907267671008
7,NRW,,0755,,0753,,2019-07-26,201907267671008
0,LST,0600,,0600,,,2019-07-29,201907297671008
1,CHM,0630,0630,0630,0627,,2019-07-29,201907297671008
2,COL,0650,0649,0651,0650,,2019-07-29,201907297671008
3,MNG,0658,0658,0701,0659,,2019-07-29,201907297671008
4,IPS,0712,0710,0716,0714,,2019-07-29,201907297671008
5,SMK,0723,0722,0726,0725,,2019-07-29,201907297671008
6,DIS,0735,0735,0740,0738,,2019-07-29,201907297671008
7,NRW,,0755,,0755,,2019-07-29,201907297671008
0,LST,0600,,0559,,,2019-07-30,201907307671008
1,CHM,0630,0630,0629,0625,,2019-07-30,201907307671008
2,COL,0650,0649,0649,0645,,2019-07-30,201907307671008
3,MNG,0658,0658,0701,0657,,2019-07-30,201907307671008
4,IPS,0712,0710,0712,0710,,2019-07-30,201907307671008
5,SMK,0723,0722,0723,0722,,2019-07-30,201907307671008
6,DIS,0735,0735,0737,0735,,2019-07-30,201907307671008
7,NRW,,0755,,0753,,2019-07-30,201907307671008
0,LST,0600,,0600,,,2019-07-31,201907317671009
1,CHM,0630,0630,0629,0626,,2019-07-31,201907317671009
2,COL,0650,0649,0649,0645,,2019-07-31,201907317671009
3,MNG,0658,0658,0701,0657,,2019-07-31,201907317671009
4,IPS,0712,0710,0712,0711,,2019-07-31,201907317671009
5,SMK,0723,0722,0723,0722,,2019-07-31,201907317671009
6,DIS,0735,0735,0737,0736,,2019-07-31,201907317671009
